iter	Passed	Remaining
0	196	15552
1	329	12846
2	539	13855
3	703	13363
4	880	13212
5	1041	12847
6	1206	12585
7	1375	12380
8	1542	12169
9	1708	11957
10	1993	12506
11	2182	12366
12	2435	12552
13	2614	12326
14	2897	12557
15	3148	12592
16	3373	12501
17	3613	12447
18	3769	12101
19	4036	12109
20	4317	12128
21	4525	11930
22	4658	11545
23	4867	11357
24	5138	11303
25	5397	11210
26	5669	11129
27	5847	10860
28	6113	10751
29	6368	10613
30	6610	10448
31	6789	10184
32	7039	10026
33	7312	9893
34	7605	9778
35	7736	9456
36	7941	9229
37	8218	9083
38	8466	8900
39	8710	8710
40	8890	8456
41	9134	8264
42	9452	8133
43	9720	7952
44	9846	7658
45	10079	7450
46	10316	7243
47	10577	7051
48	10784	6823
49	10910	6546
50	11158	6344
51	11442	6161
52	11721	5971
53	11886	5723
54	12136	5516
55	12407	5317
56	12668	5111
57	12878	4885
58	13128	4672
59	13425	4475
60	13671	4258
61	13917	4040
62	14082	3799
63	14355	3588
64	14558	3359
65	14800	3139
66	14992	2908
67	15239	2689
68	15530	2475
69	15795	2256
70	15965	2023
71	16165	1796
72	16451	1577
73	16710	1354
74	16976	1131
75	17182	904
76	17480	681
77	17751	455
78	17994	227
79	18120	0
