iter	Logloss	Accuracy
0	0.6853648982	0.9420942209
1	0.6777469971	0.9420942209
2	0.6702747957	0.9420942209
3	0.6629503767	0.9420942209
4	0.6557717739	0.9420942209
5	0.6487250537	0.9420942209
6	0.6418180914	0.9420942209
7	0.6350433189	0.9420942209
8	0.6283916636	0.9420942209
9	0.6218654085	0.9420942209
10	0.6154623194	0.9420942209
11	0.6091723537	0.9420942209
12	0.6030029345	0.9420942209
13	0.5969456935	0.9420942209
14	0.5910106404	0.9420942209
15	0.5851618933	0.9420942209
16	0.5794255555	0.9420942209
17	0.5737805018	0.9420942209
18	0.5682457577	0.9420942209
19	0.5627904011	0.9420942209
20	0.557449481	0.9420942209
21	0.5522003779	0.9420942209
22	0.5470324647	0.9420942209
23	0.5419639819	0.9420942209
24	0.5369820802	0.9420942209
25	0.5320879916	0.9420942209
26	0.5272669873	0.9420942209
27	0.5225273242	0.9420942209
28	0.5178602545	0.9420942209
29	0.513284107	0.9420942209
30	0.5087612414	0.9420942209
31	0.5043307277	0.9420942209
32	0.4999603562	0.9420942209
33	0.4956799693	0.9420942209
34	0.4914744401	0.9420942209
35	0.4873343691	0.9420942209
36	0.4832593371	0.9420942209
37	0.4792555767	0.9420942209
38	0.4753159	0.9420942209
39	0.4714210755	0.9420942209
40	0.4676068747	0.9420942209
41	0.4638532085	0.9420942209
42	0.4601606606	0.9420942209
43	0.4565104823	0.9420942209
44	0.4529200565	0.9420942209
45	0.4493838607	0.9420942209
46	0.4459171463	0.9420942209
47	0.4425088232	0.9420942209
48	0.4391523363	0.9420942209
49	0.4358487821	0.9420942209
