iter	Logloss
0	0.3258450645
1	0.2472548023
2	0.213949539
3	0.1915791003
4	0.184024923
5	0.1813428445
6	0.1773283802
7	0.1761169218
8	0.174235778
9	0.1717068135
10	0.1700271526
11	0.1695144868
12	0.1693466034
13	0.1693464764
14	0.1691866894
15	0.1684846555
16	0.1671261677
17	0.1668395987
18	0.1666986714
19	0.1663793167
20	0.1658456261
21	0.1653009987
22	0.1650039241
23	0.1645788924
24	0.1645745372
25	0.1644660136
26	0.1644240962
27	0.1644034805
28	0.1642757972
29	0.1641859604
30	0.1639782481
31	0.1639762326
32	0.163147475
33	0.1626339209
34	0.1620494526
35	0.1615624063
36	0.1614325038
37	0.1611743694
38	0.1610005699
39	0.1600905292
40	0.1600855953
41	0.1599055062
42	0.1597878162
43	0.1597812311
44	0.1597764637
45	0.1592089313
46	0.1590400384
47	0.1587821518
48	0.1582926724
49	0.1582580737
50	0.1580188739
51	0.1579371017
52	0.1577265573
53	0.157366748
54	0.1571430533
55	0.1571097914
56	0.1569150636
57	0.1566150655
58	0.1563982175
59	0.1562784633
60	0.1560195245
61	0.1559254228
62	0.1557828075
63	0.1557497615
64	0.1555347902
65	0.1553478778
66	0.1553034313
67	0.1553007941
68	0.1548202625
69	0.1546074766
70	0.1543235359
71	0.1540778109
72	0.1539434344
73	0.1537922585
74	0.1533962731
75	0.1530453288
76	0.15290683
77	0.1528005585
78	0.152777574
79	0.1527496971
80	0.1525990506
81	0.1525798483
82	0.1523201346
83	0.1521760936
84	0.1520786487
85	0.1519283959
86	0.1519045358
87	0.1517059327
88	0.1516379775
89	0.1515090269
90	0.1512746198
91	0.1509478215
92	0.1507468476
93	0.1505249347
94	0.1502093136
95	0.1501489574
96	0.1500163038
97	0.1499359915
98	0.1495241283
99	0.1489086153
