iter	Passed	Remaining
0	8	885
1	18	916
2	28	919
3	38	931
4	48	923
5	58	918
6	69	920
7	74	851
8	83	848
9	93	842
10	102	833
11	111	817
12	121	812
13	127	783
14	138	782
15	149	783
16	160	783
17	171	782
18	182	776
19	190	763
20	201	759
21	211	750
22	220	739
23	231	733
24	239	718
25	250	713
26	259	701
27	270	696
28	282	690
29	295	689
30	309	688
31	318	675
32	329	668
33	339	659
34	349	649
35	358	638
36	369	629
37	380	620
38	391	612
39	401	601
40	417	601
41	436	602
42	446	591
43	455	579
44	465	568
45	476	558
46	487	549
47	498	539
48	507	528
49	516	516
50	526	505
51	537	495
52	547	485
53	558	476
54	569	466
55	578	454
56	588	443
57	599	433
58	604	420
59	609	406
60	614	392
61	623	381
62	628	369
63	633	356
64	640	344
65	645	332
66	652	321
67	660	310
68	668	300
69	673	288
70	678	277
71	689	267
72	693	256
73	701	246
74	706	235
75	710	224
76	716	213
77	721	203
78	726	193
79	731	182
80	736	172
81	741	162
82	746	152
83	751	143
84	756	133
85	760	123
86	766	114
87	771	105
88	776	95
89	781	86
90	785	77
91	790	68
92	795	59
93	800	51
94	805	42
95	810	33
96	814	25
97	819	16
98	824	8
99	831	0
